StationName,Url,Logo,Category
Smooth FM,https://media-ssl.musicradio.com/SmoothUK,smooth-fm.svg,Jazz
TDI radio,https://streaming.tdiradio.com/tdiradio.mp3,radiotdi-big.png,Talk
Rock radio,https://edge9.pink.rs/rockstream,rockradio-big.png,Rock
Naxi radio,https://naxi128.streaming.rs:9152/;*.mp3,naxiradio-big.png,Pop
Play,https://stream.playradio.rs:8443/play.mp3,play-big.png,Pop
Naxi 80-te,https://naxidigital-80s128ssl.streaming.rs:8042/;*.mp3,naxi80e-big.png,Retro
Naxi Caffe,https://naxidigital-cafe128ssl.streaming.rs:8022/;*.mp3,naxicafe-big.png,Chill
Naxi EX-YU,https://naxidigital-exyu128ssl.streaming.rs:8242/;*.mp3,naxiexyu-big.png,Regional
021,https://radio.dukahosting.com/8006/stream/;*.mp3,https://radiofm.rs/images/radio/021-big.png,Pop
SomaFM Groove Salad,https://ice1.somafm.com/groovesalad-128-mp3,https://images.unsplash.com/photo-1614149162883-504ce4d13909?auto=format&fit=crop&w=500&q=60,Pop
Radio Paradise,https://stream.radioparadise.com/aac-128,https://images.unsplash.com/photo-1487180144351-b8472da7d491?auto=format&fit=crop&w=500&q=60,Pop
Rock Antenne,https://stream.rockantenne.de/rockantenne/stream/mp3,https://images.unsplash.com/photo-1498038432885-c6f3f1b912ee?w=200&h=200&fit=crop,Rock
Retro Radio,https://s40.myradiostream.com:20274/listen.mp3?nocache=1770573464,https://www.retroradio.online/images/900/22881798/coverphoto_clear_3--H3-KDH-yKAPTUdTEyOvcA.png,Rock
Radiomeuh,https://radiomeuh.ice.infomaniak.ch/radiomeuh-128.mp3,https://www.radiomeuh.com/img/logoRadioMeuh-light.svg,Other
Karolina,https://streaming.karolina.rs/karolina.mp3,https://radiofm.rs/images/radio/karolina-big.png,Other
Naxi Dance,https://naxidigital-dance128ssl.streaming.rs:8112/;*.mp3,https://radiofm.rs/images/radio/naxidance-big.png,Pop
Naxi Fresh,https://naxidigital-fresh128ssl.streaming.rs:8212/;*.mp3,https://radiofm.rs/images/radio/naxifresh-big.png,Hip Hop
Naxi Rock,https://naxidigital-rock128ssl.streaming.rs:8182/;*.mp3,https://radiofm.rs/images/radio/naxirock-big.png,Rock
